soal,rating,lampiran,jawaban,key
"Fariz sedang berada di bank untuk membuat pin untuk ATM barunya. Faris menginginkan tahun lahirnya yakni 2000 untuk menjadi pin, untuk tetap terkesan unik, dia mengubah tahun lahirnya yang diaggapnya sebagai bilangan hexadesimaldesimal menjadi bilangan desimal. Dari konversi bilangan tersebut, maka pin ATM Fariz adalah ....",2,lampiranz2.jpg,"2000 hexadesimal, 8192 desimal","2001 hexadesimal, 8192 desimal"
"Fariz sedang berada di bank untuk membuat pin untuk ATM barunya. Faris menginginkan tahun lahirnya yakni 1985 untuk menjadi pin, untuk tetap terkesan unik, dia mengubah tahun lahirnya yang diaggapnya sebagai bilangan hexadesimaldesimal menjadi bilangan desimal. Dari konversi bilangan tersebut, maka pin ATM Fariz adalah ....",2,lampiranz2.jpg,"1995 hexadesimal, 6533 desimal","1996 hexadesimal, 6533 desimal"
"Seorang teknisi sendang membuat password untuk sistem keamaan sebuah perusahaan yang berdiri tahun 2001. Teknisi tersebut berinisiatif untuk membuat password dari tahun perusahaan berdiri. Supaya terkesan unik teknisi tersebut mengubah tahun berdirinya perusahaan tersebut menjadi bilangan octal, jika teknisi menganggap tahun berdirinya perusahaan adalah bilangan hexadesimaldesimal, maka password yang digunakan berdasarkan konversi diatas adalah ....",2,lampiranz2.jpg,"2001 hexadesimal, 20001 octal","2002 hexadesimal, 20001 octal"
"Seorang teknisi sendang membuat password untuk jaringan WIFI sebuah warung makan yang berdiri tahun 1789. Teknisi tersebut berinisiatif untuk membuat password dari tahun warung itu berdiri. Supaya terkesan unik teknisi tersebut mengubah tahun berdirinya warung tersebut menjadi bilangan desimal, jika teknisi menganggap tahun berdirinya warung adalah bilangan hexadesimaldesimal, maka password yang digunakan berdasarkan konversi adalah ....",2,lampiranz2.jpg,"1789 hexadesimal, 6025 desimal","1790 hexadesimal, 6025 desimal"
"Ada 2 orang bertanya jawaban dari konversi bilangan 66812 hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"66812 hexadesimal, 419,858 desimal, 0110 0110 1000 0001 0010 biner","66812 hexadesimal, 419,858 desimal, 0110 0110 1000 0001 0010 biner"
"Ada 2 orang bertanya jawaban dari konversi bilangan 6AE11 hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"6AE11 hexadesimal, 437,777 desimal, 0110 1010 1110 0001 0001 biner","6AE11 hexadesimal, 437,777 desimal, 0110 1010 1110 0001 0001 biner"
"Ada 3 orang bertanya jawaban dari konversi bilangan 1234A hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Dan yang terakhir menginginkan jawaban berupa bilangan octal. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"1234A hexadesimal, 74570 desimal, 0001 0010 0011 0100 1010 biner, 221512 octal","1234A hexadesimal, 74570 desimal, 0001 0010 0011 0100 1010 biner, 221512 octal"
"Ada 2 orang bertanya jawaban dari konversi bilangan 18239 hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"18239 hexadesimal, 98873 desmal, biner 0001 1000 0010 0011 1001 biner","18240 hexadesimal, 98873 desmal, biner 0001 1000 0010 0011 1001 biner"
"Ada 2 orang bertanya jawaban dari konversi bilangan 56442 hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"56442 hexadesimal, 353346 desimal, 0101 0110 0100 0100 0010 biner","56443 hexadesimal, 353346 desimal, 0101 0110 0100 0100 0010 biner"
"Ada 3 orang bertanya jawaban dari konversi bilangan 78782 hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Dan yang terakhir menginginkan jawaban berupa bilangan octal. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"78782 hexadesimal, 493442 desimal, 0111 1000 0111 1000 0010 biner, 1703602 octal","78782 hexadesimal, 493442 desimal, 0111 1000 0111 1000 0010 biner, 1703602 octal"
"Ada 2 orang bertanya jawaban dari konversi bilangan 66812 hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"66812 hexadesimal, 419858 desimal, 0110 0110 1000 0001 0010 biner","66812 hexadesimal, 419858 desimal, 0110 0110 1000 0001 0010 biner"
"Ada 2 orang bertanya jawaban dari konversi bilangan 8967 hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"8967  hexadesimal, 35175 desimal, 1000 1001 0110 0111 biner","8968  hexadesimal, 35175 desimal, 1000 1001 0110 0111 biner"
"Ada 3 orang bertanya jawaban dari konversi bilangan AA22 hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Dan yang terakhir menginginkan jawaban berupa bilangan octal. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"AA22 hexadesimal, 43554 desimal, 1010 1010 0010 0010  biner, 125042 octal","AA22 hexadesimal, 43554 desimal, 1010 1010 0010 0010  biner, 125042 octal"
"Ada 3 orang bertanya jawaban dari konversi bilangan AABB hexadesimaldesimal, namun orang yang pertama menginginkan hasil berupa bilangan desimal, dan orang yang kedua menginginkan jawaban berupa bilangan biner. Dan yang terakhir menginginkan jawaban berupa bilangan octal. Hasil dari masing -  masing konversi adalah ....",3,lampiranz3.jpg,"AABB hexadesimal, 43707 desimal, 1010 1010 1011 1011 biner, 43707 octal","AABB hexadesimal, 43707 desimal, 1010 1010 1011 1011 biner, 43707 octal"
